IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
198.41.201.248,4,1,0.75,206.34,0.00,N/A
104.19.47.248,4,1,0.75,206.61,0.00,N/A
104.27.13.241,4,1,0.75,207.74,0.00,N/A
104.19.45.194,4,1,0.75,207.77,0.00,N/A
172.65.107.178,4,1,0.75,209.41,0.00,N/A
172.67.113.43,4,1,0.75,209.50,0.00,N/A
104.21.75.137,4,1,0.75,209.51,0.00,N/A
104.25.177.35,4,1,0.75,209.60,0.00,N/A
104.20.21.135,4,1,0.75,209.84,0.00,N/A
172.67.250.180,4,1,0.75,210.43,0.00,N/A
104.24.130.86,4,1,0.75,211.54,0.00,N/A
104.16.121.162,4,1,0.75,211.69,0.00,N/A
104.19.163.12,4,1,0.75,211.75,0.00,N/A
104.25.17.126,4,1,0.75,213.06,0.00,N/A
104.16.16.39,4,1,0.75,214.14,0.00,N/A
104.24.11.194,4,1,0.75,216.07,0.00,N/A
104.25.118.179,4,1,0.75,216.66,0.00,N/A
104.25.96.113,4,1,0.75,216.75,0.00,N/A
104.19.147.244,4,1,0.75,216.81,0.00,N/A
104.24.221.238,4,1,0.75,217.30,0.00,N/A
104.27.68.250,4,1,0.75,218.25,0.00,N/A
104.27.36.121,4,1,0.75,218.44,0.00,N/A
104.18.181.154,4,1,0.75,218.97,0.00,N/A
172.67.138.83,4,1,0.75,219.03,0.00,N/A
104.20.56.113,4,1,0.75,219.04,0.00,N/A
104.27.84.143,4,1,0.75,219.10,0.00,N/A
172.67.80.165,4,1,0.75,219.26,0.00,N/A
172.67.142.224,4,1,0.75,219.28,0.00,N/A
172.65.11.56,4,1,0.75,219.57,0.00,N/A
108.162.193.253,4,1,0.75,220.60,0.00,N/A
104.24.203.158,4,1,0.75,220.70,0.00,N/A
104.16.78.186,4,1,0.75,220.95,0.00,N/A
172.65.47.197,4,1,0.75,220.95,0.00,N/A
172.66.192.37,4,1,0.75,221.06,0.00,N/A
104.20.31.101,4,1,0.75,221.16,0.00,N/A
104.25.183.235,4,1,0.75,221.46,0.00,N/A
104.20.4.101,4,1,0.75,221.47,0.00,N/A
104.25.54.146,4,1,0.75,221.68,0.00,N/A
172.65.144.106,4,1,0.75,222.07,0.00,N/A
172.67.195.81,4,1,0.75,222.09,0.00,N/A
172.66.200.116,4,1,0.75,222.14,0.00,N/A
104.16.63.74,4,1,0.75,222.18,0.00,N/A
172.67.109.27,4,1,0.75,222.43,0.00,N/A
104.24.138.230,4,1,0.75,223.15,0.00,N/A
172.66.163.171,4,1,0.75,223.68,0.00,N/A
104.24.171.150,4,1,0.75,223.87,0.00,N/A
104.25.209.219,4,1,0.75,224.07,0.00,N/A
104.21.53.177,4,1,0.75,224.11,0.00,N/A
104.19.172.234,4,1,0.75,224.20,0.00,N/A
104.24.6.224,4,1,0.75,224.37,0.00,N/A
104.19.173.148,4,1,0.75,224.77,0.00,N/A
172.65.33.129,4,1,0.75,224.83,0.00,N/A
104.25.24.228,4,1,0.75,225.06,0.00,N/A
104.24.8.241,4,1,0.75,225.52,0.00,N/A
172.67.146.164,4,1,0.75,226.01,0.00,N/A
104.25.130.37,4,1,0.75,226.26,0.00,N/A
104.20.10.232,4,1,0.75,226.85,0.00,N/A
104.25.48.13,4,1,0.75,226.93,0.00,N/A
